Review,Rating
"Já estou há alguns meses com o celular e continua ótimo. Boa câmera e bastante espaço de armazenamento. Muito bom para jogos também (atualmente jogo COD Mobile e Clash Royale). A bateria é razoável, não dura tanto quanto dizem, talvez porque eu jogue bastante, pois quando utilizo apps de redes sociais, sites, fotos e YouTube, a bateria tem maior durabilidade.",5
O aparelho é sensacional! Chegou rápido e é muito bem embalado!,5
"celular muito bom, bateria durou cerca de 48 horas, câmera boa, sem queixas ate o momento",5
"Gostei muito. Bateria dura um dia e meio. Câmeras nem se fala, ótimas.",5
"Entrega super rápida, apenas 2 dias úteis. E o aparelho é ótimo. Super recomendo.",5
"Excelente, estou amando. Superou minhas expectativas. Quando uso muito a bateria dura até 24horas, quando dou um descanso ao celular, chegou a durar dois dias de bateria.",5
"Meu primeiro smartphone Xiaomi, e está valendo muito. Ótima memória, não trava, ótima bateria. Já vem com uma película e capinha muito boas. Wi-fi dual band, suporta mais de um dispositivo conectado no Bluetooth ao mesmo tempo, as câmeras são ótimas, e o infravermelho ajuda muito qdo vc não encontra seus controles, ou quer desligar aquela TV chata nas salas de espera. 🤭",5
Confia!,5
Excelente! Entrega rápida e produto atende às expectativas! Recomendo!,5
Vale muito à pena.,5
Celular excelente em todos os sentidos!,5
"Design, bateria, memória...",5
"o toque na tela não é tão sensível se comparado com outras marcas, mas no geral é um aparelho muito bom, principalmente no quesito câmera.",5
Duração de quase dois dias,5
Somente aspectos bons,5
Muito bom,5
Duração de bateria 48 horas achei bom o desempenho,5
"Chegou antes do prazo com td certinho,amei",5
Custo x beneficio,5
"Chegou bem antes do prazo, gostei muito do aparelho, por enquanto estou gostando.",5
"Rápido, bateria duradoura, chegou bem embalado e sem problemas.",5
"Acabamos de receber. Por isso não temos como avaliar o produto. Mas chegou bem embalado, é bonito e, pelas críticas, um ótimo custo-benefício",5
"Produto chegou no tempo previsto, muito bonito, de fácil manuseio, e na cor azul",5
Adorei o smartphone!!!,5
o produto e otimo recomendo a xiaomi ta tirando braba apple q abra os olhinhos e comece a pensar em baixar o preco deles pois o xiaomi entrega a mesama coisa e bem mas barato.,5
Estou satisfeito,5
